,season,week,date,awayteam,hometeam,stadium,location
0,2022,5,2022-10-06,Colts,Broncos,Empower Field at Mile High,"Denver, CO"
1,2022,5,2022-10-09,Giants,Packers,Tottenham Hotspur Stadium,London
2,2022,5,2022-10-09,Steelers,Bills,Highmark Stadium,"Orchard Park, NY"
3,2022,5,2022-10-09,Chargers,Browns,FirstEnergy Stadium,"Cleveland, OH"
4,2022,5,2022-10-09,Bears,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
5,2022,5,2022-10-09,Lions,Patriots,Gillette Stadium,"Foxboro, MA"
6,2022,5,2022-10-09,Seahawks,Saints,Caesars Superdome,"New Orleans, LA"
7,2022,5,2022-10-09,Dolphins,Jets,MetLife Stadium,"East Rutherford, NJ"
8,2022,5,2022-10-09,Falcons,Buccaneers,Raymond James Stadium,"Tampa, FL"
9,2022,5,2022-10-09,Titans,Commanders,FedExField,"Landover, MD"
10,2022,5,2022-10-09,Texans,Jaguars,TIAA Bank Field,"Jacksonville, FL"
11,2022,5,2022-10-09,49ers,Panthers,Bank of America Stadium,"Charlotte, NC"
12,2022,5,2022-10-09,Cowboys,Rams,SoFi Stadium,"Inglewood, CA"
13,2022,5,2022-10-09,Eagles,Cardinals,State Farm Stadium,"Glendale, AZ"
14,2022,5,2022-10-09,Bengals,Ravens,M&T Bank Stadium,"Baltimore, MD"
15,2022,5,2022-10-10,Raiders,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
16,2022,6,2022-10-13,Commanders,Bears,Soldier Field,"Chicago, IL"
17,2022,6,2022-10-16,49ers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
18,2022,6,2022-10-16,Patriots,Browns,FirstEnergy Stadium,"Cleveland, OH"
19,2022,6,2022-10-16,Jets,Packers,Lambeau Field,"Green Bay, WI"
20,2022,6,2022-10-16,Jaguars,Colts,Lucas Oil Stadium,"Indianapolis, IN"
21,2022,6,2022-10-16,Vikings,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
22,2022,6,2022-10-16,Bengals,Saints,Caesars Superdome,"New Orleans, LA"
23,2022,6,2022-10-16,Ravens,Giants,MetLife Stadium,"East Rutherford, NJ"
24,2022,6,2022-10-16,Buccaneers,Steelers,Acrisure Stadium,"Pittsburgh, PA"
25,2022,6,2022-10-16,Panthers,Rams,SoFi Stadium,"Inglewood, CA"
26,2022,6,2022-10-16,Cardinals,Seahawks,Lumen Field,"Seattle, WA"
27,2022,6,2022-10-16,Bills,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
28,2022,6,2022-10-16,Cowboys,Eagles,Lincoln Financial Field,"Philadelphia, PA"
29,2022,6,2022-10-17,Broncos,Chargers,SoFi Stadium,"Inglewood, CA"
30,2022,2,2022-09-15,Chargers,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
31,2022,2,2022-09-18,Jets,Browns,FirstEnergy Stadium,"Cleveland, OH"
32,2022,2,2022-09-18,Commanders,Lions,Ford Field,"Detroit, MI"
33,2022,2,2022-09-18,Buccaneers,Saints,Caesars Superdome,"New Orleans, LA"
34,2022,2,2022-09-18,Panthers,Giants,MetLife Stadium,"East Rutherford, NJ"
35,2022,2,2022-09-18,Patriots,Steelers,Acrisure Stadium,"Pittsburgh, PA"
36,2022,2,2022-09-18,Colts,Jaguars,TIAA Bank Field,"Jacksonville, FL"
37,2022,2,2022-09-18,Dolphins,Ravens,M&T Bank Stadium,"Baltimore, MD"
38,2022,2,2022-09-18,Falcons,Rams,SoFi Stadium,"Inglewood, CA"
39,2022,2,2022-09-18,Seahawks,49ers,Levi's Stadium,"Santa Clara, CA"
40,2022,2,2022-09-18,Bengals,Cowboys,AT&T Stadium,"Arlington, TX"
41,2022,2,2022-09-18,Texans,Broncos,Empower Field at Mile High,"Denver, CO"
42,2022,2,2022-09-18,Cardinals,Raiders,Allegiant Stadium,"Las Vegas, NV"
43,2022,2,2022-09-18,Bears,Packers,Lambeau Field,"Green Bay, WI"
44,2022,2,2022-09-19,Titans,Bills,Highmark Stadium,"Orchard Park, NY"
45,2022,2,2022-09-19,Vikings,Eagles,Lincoln Financial Field,"Philadelphia, PA"
46,2022,7,2022-10-20,Saints,Cardinals,State Farm Stadium,"Glendale, AZ"
47,2022,7,2022-10-23,Falcons,Bengals,Paycor Stadium,"Cincinnati, OH"
48,2022,7,2022-10-23,Lions,Cowboys,AT&T Stadium,"Arlington, TX"
49,2022,7,2022-10-23,Colts,Titans,Nissan Stadium,"Nashville, TN"
50,2022,7,2022-10-23,Packers,Commanders,FedExField,"Landover, MD"
51,2022,7,2022-10-23,Buccaneers,Panthers,Bank of America Stadium,"Charlotte, NC"
52,2022,7,2022-10-23,Giants,Jaguars,TIAA Bank Field,"Jacksonville, FL"
53,2022,7,2022-10-23,Browns,Ravens,M&T Bank Stadium,"Baltimore, MD"
54,2022,7,2022-10-23,Jets,Broncos,Empower Field at Mile High,"Denver, CO"
55,2022,7,2022-10-23,Texans,Raiders,Allegiant Stadium,"Las Vegas, NV"
56,2022,7,2022-10-23,Seahawks,Chargers,SoFi Stadium,"Inglewood, CA"
57,2022,7,2022-10-23,Chiefs,49ers,Levi's Stadium,"Santa Clara, CA"
58,2022,7,2022-10-23,Steelers,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
59,2022,7,2022-10-24,Bears,Patriots,Gillette Stadium,"Foxboro, MA"
60,2022,4,2022-09-29,Dolphins,Bengals,Paycor Stadium,"Cincinnati, OH"
61,2022,4,2022-10-02,Vikings,Saints,Tottenham Hotspur Stadium,London
62,2022,4,2022-10-02,Browns,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
63,2022,4,2022-10-02,Commanders,Cowboys,AT&T Stadium,"Arlington, TX"
64,2022,4,2022-10-02,Seahawks,Lions,Ford Field,"Detroit, MI"
65,2022,4,2022-10-02,Titans,Colts,Lucas Oil Stadium,"Indianapolis, IN"
66,2022,4,2022-10-02,Bears,Giants,MetLife Stadium,"East Rutherford, NJ"
67,2022,4,2022-10-02,Jaguars,Eagles,Lincoln Financial Field,"Philadelphia, PA"
68,2022,4,2022-10-02,Jets,Steelers,Acrisure Stadium,"Pittsburgh, PA"
69,2022,4,2022-10-02,Bills,Ravens,M&T Bank Stadium,"Baltimore, MD"
70,2022,4,2022-10-02,Chargers,Texans,NRG Stadium,"Houston, TX"
71,2022,4,2022-10-02,Cardinals,Panthers,Bank of America Stadium,"Charlotte, NC"
72,2022,4,2022-10-02,Patriots,Packers,Lambeau Field,"Green Bay, WI"
73,2022,4,2022-10-02,Broncos,Raiders,Allegiant Stadium,"Las Vegas, NV"
74,2022,3,2022-09-22,Steelers,Browns,FirstEnergy Stadium,"Cleveland, OH"
75,2022,3,2022-09-25,Texans,Bears,Soldier Field,"Chicago, IL"
76,2022,8,2022-10-27,Ravens,Buccaneers,Raymond James Stadium,"Tampa, FL"
77,2022,8,2022-10-30,Broncos,Jaguars,Wembley Stadium,London
78,2022,8,2022-10-30,Panthers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
79,2022,4,2022-10-02,Chiefs,Buccaneers,Raymond James Stadium,"Tampa, FL"
80,2022,4,2022-10-03,Rams,49ers,Levi's Stadium,"Santa Clara, CA"
81,2022,1,2022-09-08,Bills,Rams,SoFi Stadium,"Inglewood, CA"
82,2022,1,2022-09-11,Saints,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
83,2022,3,2022-09-25,Raiders,Titans,Nissan Stadium,"Nashville, TN"
84,2022,3,2022-09-25,Chiefs,Colts,Lucas Oil Stadium,"Indianapolis, IN"
85,2022,3,2022-09-25,Bills,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
86,2022,3,2022-09-25,Lions,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
87,2022,3,2022-09-25,Ravens,Patriots,Gillette Stadium,"Foxboro, MA"
88,2022,3,2022-09-25,Bengals,Jets,MetLife Stadium,"East Rutherford, NJ"
89,2022,3,2022-09-25,Eagles,Commanders,FedExField,"Landover, MD"
90,2022,3,2022-09-25,Saints,Panthers,Bank of America Stadium,"Charlotte, NC"
91,2022,3,2022-09-25,Jaguars,Chargers,SoFi Stadium,"Inglewood, CA"
92,2022,3,2022-09-25,Rams,Cardinals,State Farm Stadium,"Glendale, AZ"
93,2022,3,2022-09-25,Falcons,Seahawks,Lumen Field,"Seattle, WA"
94,2022,3,2022-09-25,Packers,Buccaneers,Raymond James Stadium,"Tampa, FL"
95,2022,3,2022-09-25,49ers,Broncos,Empower Field at Mile High,"Denver, CO"
96,2022,8,2022-10-30,Bears,Cowboys,AT&T Stadium,"Arlington, TX"
97,2022,8,2022-10-30,Dolphins,Lions,Ford Field,"Detroit, MI"
98,2022,8,2022-10-30,Cardinals,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
99,2022,8,2022-10-30,Raiders,Saints,Caesars Superdome,"New Orleans, LA"
100,2022,8,2022-10-30,Patriots,Jets,MetLife Stadium,"East Rutherford, NJ"
101,2022,8,2022-10-30,Steelers,Eagles,Lincoln Financial Field,"Philadelphia, PA"
102,2022,8,2022-10-30,Titans,Texans,NRG Stadium,"Houston, TX"
103,2022,8,2022-10-30,Commanders,Colts,Lucas Oil Stadium,"Indianapolis, IN"
104,2022,8,2022-10-30,49ers,Rams,SoFi Stadium,"Inglewood, CA"
105,2022,8,2022-10-30,Giants,Seahawks,Lumen Field,"Seattle, WA"
106,2022,8,2022-10-30,Packers,Bills,Highmark Stadium,"Orchard Park, NY"
107,2022,8,2022-10-31,Bengals,Browns,FirstEnergy Stadium,"Cleveland, OH"
108,2022,1,2022-09-11,49ers,Bears,Soldier Field,"Chicago, IL"
109,2022,1,2022-09-11,Steelers,Bengals,Paycor Stadium,"Cincinnati, OH"
110,2022,1,2022-09-11,Eagles,Lions,Ford Field,"Detroit, MI"
111,2022,1,2022-09-11,Patriots,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
112,2022,1,2022-09-11,Ravens,Jets,MetLife Stadium,"East Rutherford, NJ"
113,2022,1,2022-09-11,Jaguars,Commanders,FedExField,"Landover, MD"
114,2022,1,2022-09-11,Browns,Panthers,Bank of America Stadium,"Charlotte, NC"
115,2022,1,2022-09-11,Colts,Texans,NRG Stadium,"Houston, TX"
116,2022,1,2022-09-11,Giants,Titans,Nissan Stadium,"Nashville, TN"
117,2022,1,2022-09-11,Packers,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
118,2022,1,2022-09-11,Chiefs,Cardinals,State Farm Stadium,"Glendale, AZ"
119,2022,1,2022-09-11,Raiders,Chargers,SoFi Stadium,"Inglewood, CA"
120,2022,3,2022-09-26,Cowboys,Giants,MetLife Stadium,"East Rutherford, NJ"
121,2022,1,2022-09-11,Buccaneers,Cowboys,AT&T Stadium,"Arlington, TX"
122,2022,1,2022-09-12,Broncos,Seahawks,Lumen Field,"Seattle, WA"
123,2022,9,2022-11-03,Eagles,Texans,NRG Stadium,"Houston, TX"
124,2022,9,2022-11-06,Chargers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
125,2022,9,2022-11-06,Dolphins,Bears,Soldier Field,"Chicago, IL"
126,2022,9,2022-11-06,Panthers,Bengals,Paycor Stadium,"Cincinnati, OH"
127,2022,9,2022-11-06,Packers,Lions,Ford Field,"Detroit, MI"
128,2022,9,2022-11-06,Colts,Patriots,Gillette Stadium,"Foxboro, MA"
129,2022,9,2022-11-06,Bills,Jets,MetLife Stadium,"East Rutherford, NJ"
130,2022,9,2022-11-06,Vikings,Commanders,FedExField,"Landover, MD"
131,2022,9,2022-11-06,Raiders,Jaguars,TIAA Bank Field,"Jacksonville, FL"
132,2022,9,2022-11-06,Seahawks,Cardinals,State Farm Stadium,"Glendale, AZ"
133,2022,9,2022-11-06,Rams,Buccaneers,Raymond James Stadium,"Tampa, FL"
134,2022,9,2022-11-06,Titans,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
135,2022,9,2022-11-07,Ravens,Saints,Caesars Superdome,"New Orleans, LA"
136,2022,10,2022-11-10,Falcons,Panthers,Bank of America Stadium,"Charlotte, NC"
137,2022,10,2022-11-13,Seahawks,Buccaneers,Allianz Arena,Munich
138,2022,10,2022-11-13,Vikings,Bills,Highmark Stadium,"Orchard Park, NY"
139,2022,10,2022-11-13,Lions,Bears,Soldier Field,"Chicago, IL"
140,2022,10,2022-11-13,Broncos,Titans,Nissan Stadium,"Nashville, TN"
141,2022,10,2022-11-13,Jaguars,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
142,2022,10,2022-11-13,Browns,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
143,2022,10,2022-11-13,Texans,Giants,MetLife Stadium,"East Rutherford, NJ"
144,2022,10,2022-11-13,Saints,Steelers,Acrisure Stadium,"Pittsburgh, PA"
145,2022,10,2022-11-13,Colts,Raiders,Allegiant Stadium,"Las Vegas, NV"
146,2022,10,2022-11-13,Cowboys,Packers,Lambeau Field,"Green Bay, WI"
147,2022,10,2022-11-13,Cardinals,Rams,SoFi Stadium,"Inglewood, CA"
148,2022,10,2022-11-13,Chargers,49ers,Levi's Stadium,"Santa Clara, CA"
149,2022,10,2022-11-14,Commanders,Eagles,Lincoln Financial Field,"Philadelphia, PA"
150,2022,11,2022-11-17,Titans,Packers,Lambeau Field,"Green Bay, WI"
151,2022,11,2022-11-20,Bears,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
152,2022,11,2022-11-20,Browns,Bills,Highmark Stadium,"Orchard Park, NY"
153,2022,11,2022-11-20,Eagles,Colts,Lucas Oil Stadium,"Indianapolis, IN"
154,2022,11,2022-11-20,Jets,Patriots,Gillette Stadium,"Foxboro, MA"
155,2022,11,2022-11-20,Rams,Saints,Caesars Superdome,"New Orleans, LA"
156,2022,11,2022-11-20,Lions,Giants,MetLife Stadium,"East Rutherford, NJ"
157,2022,11,2022-11-20,Panthers,Ravens,M&T Bank Stadium,"Baltimore, MD"
158,2022,11,2022-11-20,Commanders,Texans,NRG Stadium,"Houston, TX"
159,2022,11,2022-11-20,Raiders,Broncos,Empower Field at Mile High,"Denver, CO"
160,2022,11,2022-11-20,Cowboys,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
161,2022,11,2022-11-20,Chiefs,Chargers,SoFi Stadium,"Inglewood, CA"
162,2022,11,2022-11-20,Bengals,Steelers,Acrisure Stadium,"Pittsburgh, PA"
163,2022,11,2022-11-21,49ers,Cardinals,Estadio Azteca,Mexico City
164,2022,14,2022-12-08,Raiders,Rams,SoFi Stadium,"Inglewood, CA"
165,2022,14,2022-12-11,Jets,Bills,Highmark Stadium,"Orchard Park, NY"
166,2022,14,2022-12-11,Browns,Bengals,Paycor Stadium,"Cincinnati, OH"
167,2022,14,2022-12-11,Texans,Cowboys,AT&T Stadium,"Arlington, TX"
168,2022,14,2022-12-11,Vikings,Lions,Ford Field,"Detroit, MI"
169,2022,14,2022-12-11,Jaguars,Titans,Nissan Stadium,"Nashville, TN"
170,2022,14,2022-12-11,Eagles,Giants,MetLife Stadium,"East Rutherford, NJ"
171,2022,14,2022-12-11,Ravens,Steelers,Acrisure Stadium,"Pittsburgh, PA"
172,2022,14,2022-12-11,Dolphins,Chargers,SoFi Stadium,"Inglewood, CA"
173,2022,14,2022-12-11,Buccaneers,49ers,Levi's Stadium,"Santa Clara, CA"
174,2022,14,2022-12-11,Panthers,Seahawks,Lumen Field,"Seattle, WA"
175,2022,14,2022-12-11,Chiefs,Broncos,Empower Field at Mile High,"Denver, CO"
176,2022,14,2022-12-12,Patriots,Cardinals,State Farm Stadium,"Glendale, AZ"
177,2022,15,2022-12-15,49ers,Seahawks,Lumen Field,"Seattle, WA"
178,2022,15,2022-12-18,Dolphins,Bills,Highmark Stadium,"Orchard Park, NY"
179,2022,15,2022-12-18,Ravens,Browns,FirstEnergy Stadium,"Cleveland, OH"
180,2022,15,2022-12-18,Colts,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
181,2022,15,2022-12-18,Falcons,Saints,Caesars Superdome,"New Orleans, LA"
182,2022,15,2022-12-18,Giants,Commanders,FedExField,"Landover, MD"
183,2022,15,2022-12-18,Eagles,Bears,Soldier Field,"Chicago, IL"
184,2022,15,2022-12-18,Lions,Jets,MetLife Stadium,"East Rutherford, NJ"
185,2022,15,2022-12-18,Steelers,Panthers,Bank of America Stadium,"Charlotte, NC"
186,2022,15,2022-12-18,Cowboys,Jaguars,TIAA Bank Field,"Jacksonville, FL"
187,2022,15,2022-12-18,Chiefs,Texans,NRG Stadium,"Houston, TX"
188,2022,15,2022-12-18,Cardinals,Broncos,Empower Field at Mile High,"Denver, CO"
189,2022,15,2022-12-18,Titans,Chargers,SoFi Stadium,"Inglewood, CA"
190,2022,15,2022-12-18,Bengals,Buccaneers,Raymond James Stadium,"Tampa, FL"
191,2022,15,2022-12-18,Patriots,Raiders,Allegiant Stadium,"Las Vegas, NV"
192,2022,15,2022-12-19,Rams,Packers,Lambeau Field,"Green Bay, WI"
193,2022,16,2022-12-22,Jaguars,Jets,MetLife Stadium,"East Rutherford, NJ"
194,2022,16,2022-12-24,Bills,Bears,Soldier Field,"Chicago, IL"
195,2022,16,2022-12-24,Saints,Browns,FirstEnergy Stadium,"Cleveland, OH"
196,2022,16,2022-12-24,Texans,Titans,Nissan Stadium,"Nashville, TN"
197,2022,16,2022-12-24,Seahawks,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
198,2022,16,2022-12-24,Giants,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
199,2022,16,2022-12-24,Bengals,Patriots,Gillette Stadium,"Foxboro, MA"
200,2022,16,2022-12-24,Lions,Panthers,Bank of America Stadium,"Charlotte, NC"
201,2022,16,2022-12-24,Falcons,Ravens,M&T Bank Stadium,"Baltimore, MD"
202,2022,16,2022-12-24,Commanders,49ers,Levi's Stadium,"Santa Clara, CA"
203,2022,16,2022-12-24,Eagles,Cowboys,AT&T Stadium,"Arlington, TX"
204,2022,16,2022-12-24,Raiders,Steelers,Acrisure Stadium,"Pittsburgh, PA"
205,2022,12,2022-11-24,Bills,Lions,Ford Field,"Detroit, MI"
206,2022,12,2022-11-24,Giants,Cowboys,AT&T Stadium,"Arlington, TX"
207,2022,12,2022-11-24,Patriots,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
208,2022,16,2022-12-25,Packers,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
209,2022,16,2022-12-25,Broncos,Rams,SoFi Stadium,"Inglewood, CA"
210,2022,16,2022-12-25,Buccaneers,Cardinals,State Farm Stadium,"Glendale, AZ"
211,2022,16,2022-12-26,Chargers,Colts,Lucas Oil Stadium,"Indianapolis, IN"
212,2022,12,2022-11-27,Buccaneers,Browns,FirstEnergy Stadium,"Cleveland, OH"
213,2022,12,2022-11-27,Bengals,Titans,Nissan Stadium,"Nashville, TN"
214,2022,12,2022-11-27,Texans,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
215,2022,12,2022-11-27,Bears,Jets,MetLife Stadium,"East Rutherford, NJ"
216,2022,12,2022-11-27,Falcons,Commanders,FedExField,"Landover, MD"
217,2022,12,2022-11-27,Broncos,Panthers,Bank of America Stadium,"Charlotte, NC"
218,2022,12,2022-11-27,Ravens,Jaguars,TIAA Bank Field,"Jacksonville, FL"
219,2022,12,2022-11-27,Chargers,Cardinals,State Farm Stadium,"Glendale, AZ"
220,2022,12,2022-11-27,Raiders,Seahawks,Lumen Field,"Seattle, WA"
221,2022,12,2022-11-27,Rams,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
222,2022,12,2022-11-27,Saints,49ers,Levi's Stadium,"Santa Clara, CA"
223,2022,12,2022-11-27,Packers,Eagles,Lincoln Financial Field,"Philadelphia, PA"
224,2022,12,2022-11-28,Steelers,Colts,Lucas Oil Stadium,"Indianapolis, IN"
225,2022,13,2022-12-01,Bills,Patriots,Gillette Stadium,"Foxboro, MA"
226,2022,13,2022-12-04,Steelers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
227,2022,13,2022-12-04,Packers,Bears,Soldier Field,"Chicago, IL"
228,2022,13,2022-12-04,Jaguars,Lions,Ford Field,"Detroit, MI"
229,2022,13,2022-12-04,Jets,Vikings,U.S. Bank Stadium,"Minneapolis, MN"
230,2022,13,2022-12-04,Commanders,Giants,MetLife Stadium,"East Rutherford, NJ"
231,2022,13,2022-12-04,Titans,Eagles,Lincoln Financial Field,"Philadelphia, PA"
232,2022,13,2022-12-04,Broncos,Ravens,M&T Bank Stadium,"Baltimore, MD"
233,2022,13,2022-12-04,Browns,Texans,NRG Stadium,"Houston, TX"
234,2022,13,2022-12-04,Seahawks,Rams,SoFi Stadium,"Inglewood, CA"
235,2022,13,2022-12-04,Dolphins,49ers,Levi's Stadium,"Santa Clara, CA"
236,2022,13,2022-12-04,Chiefs,Bengals,Paycor Stadium,"Cincinnati, OH"
237,2022,13,2022-12-04,Chargers,Raiders,Allegiant Stadium,"Las Vegas, NV"
238,2022,13,2022-12-04,Colts,Cowboys,AT&T Stadium,"Arlington, TX"
239,2022,13,2022-12-05,Saints,Buccaneers,Raymond James Stadium,"Tampa, FL"
240,2022,17,2022-12-29,Cowboys,Titans,Nissan Stadium,"Nashville, TN"
241,2022,17,2023-01-01,Cardinals,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
242,2022,17,2023-01-01,Bears,Lions,Ford Field,"Detroit, MI"
243,2022,17,2023-01-01,Broncos,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO"
244,2022,17,2023-01-01,Dolphins,Patriots,Gillette Stadium,"Foxboro, MA"
245,2022,17,2023-01-01,Colts,Giants,MetLife Stadium,"East Rutherford, NJ"
246,2022,17,2023-01-01,Saints,Eagles,Lincoln Financial Field,"Philadelphia, PA"
247,2022,17,2023-01-01,Panthers,Buccaneers,Raymond James Stadium,"Tampa, FL"
248,2022,17,2023-01-01,Browns,Commanders,FedExField,"Landover, MD"
249,2022,17,2023-01-01,Steelers,Ravens,M&T Bank Stadium,"Baltimore, MD"
250,2022,17,2023-01-01,Jaguars,Texans,NRG Stadium,"Houston, TX"
251,2022,17,2023-01-01,49ers,Raiders,Allegiant Stadium,"Las Vegas, NV"
252,2022,17,2023-01-01,Jets,Seahawks,Lumen Field,"Seattle, WA"
253,2022,17,2023-01-01,Vikings,Packers,Lambeau Field,"Green Bay, WI"
254,2022,17,2023-01-01,Rams,Chargers,SoFi Stadium,"Inglewood, CA"
255,2022,17,2023-01-02,Bills,Bengals,Paycor Stadium,"Cincinnati, OH"
256,2022,18,2023-01-08,Buccaneers,Falcons,Mercedes-Benz Stadium,"Atlanta, GA"
257,2022,18,2023-01-08,Patriots,Bills,Highmark Stadium,"Orchard Park, NY"
258,2022,18,2023-01-08,Vikings,Bears,Soldier Field,"Chicago, IL"
259,2022,18,2023-01-08,Ravens,Bengals,Paycor Stadium,"Cincinnati, OH"
260,2022,18,2023-01-08,Chargers,Broncos,Empower Field at Mile High,"Denver, CO"
261,2022,18,2023-01-08,Lions,Packers,Lambeau Field,"Green Bay, WI"
262,2022,18,2023-01-08,Texans,Colts,Lucas Oil Stadium,"Indianapolis, IN"
263,2022,18,2023-01-08,Chiefs,Raiders,Allegiant Stadium,"Las Vegas, NV"
264,2022,18,2023-01-08,Jets,Dolphins,Hard Rock Stadium,"Miami Gardens, FL"
265,2022,18,2023-01-08,Panthers,Saints,Caesars Superdome,"New Orleans, LA"
266,2022,18,2023-01-08,Giants,Eagles,Lincoln Financial Field,"Philadelphia, PA"
267,2022,18,2023-01-08,Browns,Steelers,Acrisure Stadium,"Pittsburgh, PA"
268,2022,18,2023-01-08,Cardinals,49ers,Levi's Stadium,"Santa Clara, CA"
269,2022,18,2023-01-08,Rams,Seahawks,Lumen Field,"Seattle, WA"
270,2022,18,2023-01-08,Cowboys,Commanders,FedExField,"Landover, MD"
271,2022,18,2023-01-08,Titans,Jaguars,TIAA Bank Field,"Jacksonville, FL"
